title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format
"Storm and Fury (The Harbinger, #1)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/40291564-storm-and-fury,4.11,"                36,844",2019,296,512,Fantasy,STORM AND FURY,"The Harbinger, #1"
"The Tiger at Midnight (The Tiger at Midnight Trilogy, #1)",SWATI TEERDHALA,https://www.goodreads.com/book/show/38205303-the-tiger-at-midnight,3.73,"                4,360",2019,297,487,Fantasy,THE TIGER AT MIDNIGHT,"The Tiger at Midnight Trilogy, #1"
It Starts with Us (Paperback),COLLEEN HOOVER,https://www.goodreads.com/book/show/60393672-it-starts-with-us,4.78,"                2,073",2022,298,352,Romance,IT STARTS WITH US,Paperback
What Lies Beyond the Veil (Of Flesh & Bone #1),HARPER L WOODS,https://www.goodreads.com/book/show/59339681-what-lies-beyond-the-veil,3.81,"                9,821",2022,299,419,Fantasy,WHAT LIES BEYOND THE VEIL,Of Flesh & Bone #1
Love on the Brain (Kindle Edition),ALI HAZELWOOD,https://www.goodreads.com/book/show/59571699-love-on-the-brain,4.38,"                1,757",2022,300,Non,Romance,LOVE ON THE BRAIN,Kindle Edition
Window Shopping (ebook),TESSA BAILEY,https://www.goodreads.com/book/show/58943206-window-shopping,3.69,"                36,149",2021,301,258,Romance,WINDOW SHOPPING,ebook
Sweet Temptation (Kindle Edition),CORA REILLY,https://www.goodreads.com/book/show/52226559-sweet-temptation,4.07,"                42,508",2020,302,292,Romance,SWEET TEMPTATION,Kindle Edition
"The Prison Healer (The Prison Healer, #1)",LYNETTE NONI,https://www.goodreads.com/book/show/53968496-the-prison-healer,4.27,"                17,530",2021,303,416,Fantasy,THE PRISON HEALER,"The Prison Healer, #1"
"Kiss the Sky (Calloway Sisters, #1)",KRISTA RITCHIE,https://www.goodreads.com/book/show/60690784-kiss-the-sky,4.29,"                38,844",2014,304,443,Romance,KISS THE SKY,"Calloway Sisters, #1"
The Ten Thousand Doors of January (Hardcover),ALIX E HARROW,https://www.goodreads.com/book/show/43521657-the-ten-thousand-doors-of-january,4.05,"                98,286",2019,305,374,Fantasy,THE TEN THOUSAND DOORS OF JANUARY,Hardcover
Bunny (Hardcover),MONA AWAD,https://www.goodreads.com/book/show/42815544-bunny,3.57,"                49,429",2019,306,307,Horror,BUNNY,Hardcover
The Upside of Falling (Hardcover),ALEX LIGHT,https://www.goodreads.com/book/show/45891343-the-upside-of-falling,3.66,"                51,004",2020,307,288,Romance,THE UPSIDE OF FALLING,Hardcover
"We Free the Stars (Sands of Arawiya, #2)",HAFSAH FAIZAL,https://www.goodreads.com/book/show/46223364-we-free-the-stars,4.3,"                21,059",2021,308,592,Fantasy,WE FREE THE STARS,"Sands of Arawiya, #2"
"The Silence of the Girls (Women of Troy, #1)",PAT BARKER,https://www.goodreads.com/book/show/37969723-the-silence-of-the-girls,3.92,"                64,107",2018,309,325,Historical,THE SILENCE OF THE GIRLS,"Women of Troy, #1"
Cruel Beauty (Hardcover),ROSAMUND HODGE,https://www.goodreads.com/book/show/15839984-cruel-beauty,3.67,"                86,799",2014,310,346,Fantasy,CRUEL BEAUTY,Hardcover
"Sweet Obsession (Ruthless Games, #1)",CALLIE ROSE,https://www.goodreads.com/book/show/57378459-sweet-obsession,3.93,"                9,361",2020,311,308,Polyamorous,SWEET OBSESSION,"Ruthless Games, #1"
Skin of the Night (The Night #1),CK BENNETT,https://www.goodreads.com/book/show/58287210-skin-of-the-night,3.41,"                6,380",hed ,312,480,Romance,SKIN OF THE NIGHT,The Night #1
"Kings of Chaos (Dirty Broken Savages, #1)",EVA ASHWOOD,https://www.goodreads.com/book/show/57337557-kings-of-chaos,3.95,"                9,421",hed ,313,484,Polyamorous,KINGS OF CHAOS,"Dirty Broken Savages, #1"
The Maidens (Hardcover),ALEX MICHAELIDES,https://www.goodreads.com/book/show/45300567-the-maidens,3.63,"                166,043",2021,314,337,Mystery,THE MAIDENS,Hardcover
Layla (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/52089753-layla,3.79,"                135,840",2020,315,301,Romance,LAYLA,Kindle Edition
"The Bone Shard Daughter (The Drowning Empire, #1)",ANDREA STEWART,https://www.goodreads.com/book/show/50706646-the-bone-shard-daughter,4.07,"                15,460",2020,316,438,Fantasy,THE BONE SHARD DAUGHTER,"The Drowning Empire, #1"
The Sun Is Also a Star (Hardcover),NICOLA YOON,https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star,4.02,"                268,292",2016,317,384,Young Adult,THE SUN IS ALSO A STAR,Hardcover
"Spin the Dawn (The Blood of Stars, #1)",ELIZABETH LIM,https://www.goodreads.com/book/show/42815556-spin-the-dawn,4.0,"                40,928",2019,318,392,Fantasy,SPIN THE DAWN,"The Blood of Stars, #1"
"A Discovery of Witches (All Souls, #1)",DEBORAH HARKNESS,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,4.01,"                438,263",2011,319,579,Fantasy,A DISCOVERY OF WITCHES,"All Souls, #1"
"Act Your Age, Eve Brown (The Brown Sisters, #3)",TALIA HIBBERT,https://www.goodreads.com/book/show/51824384-act-your-age-eve-brown,4.18,"                57,284",2021,320,400,Romance,"ACT YOUR AGE, EVE BROWN","The Brown Sisters, #3"
"Heartstopper: Volume Three (Heartstopper, #3)",ALICE OSEMAN,https://www.goodreads.com/book/show/43449920-heartstopper,4.64,"                210,302",2020,321,384,Sequential Art,HEARTSTOPPER: VOLUME THREE,"Heartstopper, #3"
"Ruthless Creatures (Queens & Monsters, #1)",JT GEISSINGER,https://www.goodreads.com/book/show/56241268-ruthless-creatures,4.17,"                19,873",2021,322,378,Romance,RUTHLESS CREATURES,"Queens & Monsters, #1"
"On Dublin Street (On Dublin Street, #1)",SAMANTHA YOUNG,https://www.goodreads.com/book/show/15760001-on-dublin-street,4.18,"                186,635",2012,323,372,Romance,ON DUBLIN STREET,"On Dublin Street, #1"
The Way I Used to Be (Kindle Edition),AMBER SMITH,https://www.goodreads.com/book/show/23546634-the-way-i-used-to-be,4.19,"                36,147",2016,324,385,Young Adult,THE WAY I USED TO BE,Kindle Edition
Eleanor Oliphant Is Completely Fine (Hardcover),GAIL HONEYMAN,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,4.26,"                987,681",2017,325,336,Fiction,ELEANOR OLIPHANT IS COMPLETELY FINE,Hardcover
The Kiss Thief (Paperback),LJ SHEN,https://www.goodreads.com/book/show/41450662-the-kiss-thief,3.94,"                72,924",2019,326,320,Romance,THE KISS THIEF,Paperback
"Paper Princess (The Royals, #1)",ERIN WATT,https://www.goodreads.com/book/show/28678119-paper-princess,3.95,"                120,139",2016,327,370,Romance,PAPER PRINCESS,"The Royals, #1"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",(PSEUDONYM),https://www.goodreads.com/book/show/28187.The_Lightning_Thief,4.28,"                2,456,073",2005,328,377,Fantasy,THE LIGHTNING THIEF,"Percy Jackson and the Olympians, #1"
"Praise (Salacious Players Club, #1)",RICK RIORDAN,https://www.goodreads.com/book/show/60416566-praise,4.18,"                20,312",hed ,329,341,Romance,PRAISE,"Salacious Players Club, #1"
"Locked Up Liars (Saint View Prison, #1)",SARA CATE,https://www.goodreads.com/book/show/56780396-locked-up-liars,4.08,"                5,594",2021,330,263,Polyamorous,LOCKED UP LIARS,"Saint View Prison, #1"
"City of Thorns (The Demon Queen Trials, #1)",ELLE THORPE,https://www.goodreads.com/book/show/58503332-city-of-thorns,3.93,"                12,891",2021,331,306,Fantasy,CITY OF THORNS,"The Demon Queen Trials, #1"
"A Fate of Wrath & Flame (Fate & Flame, #1)",CN CRAWFORD,https://www.goodreads.com/book/show/57198961-a-fate-of-wrath-flame,4.28,"                7,518",2021,332,533,Fantasy,A FATE OF WRATH & FLAME,"Fate & Flame, #1"
"A Shadow in the Ember (Flesh and Fire, #1)",KA TUCKER,https://www.goodreads.com/book/show/57282383-a-shadow-in-the-ember,4.5,"                51,432",2021,333,647,Fantasy,A SHADOW IN THE EMBER,"Flesh and Fire, #1"
History Is All You Left Me (ebook),JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me,4.0,"                56,611",2017,334,320,Young Adult,HISTORY IS ALL YOU LEFT ME,ebook
Incendiary (Hollow Crown #1),ADAM SILVERA,https://www.goodreads.com/book/show/52888729-incendiary,3.91,"                6,690",2020,335,450,Fantasy,INCENDIARY,Hollow Crown #1
Holding Up the Universe (Hardcover),ZORAIDA CÓRDOVA,https://www.goodreads.com/book/show/28686840-holding-up-the-universe,3.78,"                99,053",2016,336,391,Young Adult,HOLDING UP THE UNIVERSE,Hardcover
"Destroy Me (Shatter Me, #1.5)",JENNIFER NIVEN,https://www.goodreads.com/book/show/13623150-destroy-me,4.14,"                116,385",2012,337,111,Science Fiction,DESTROY ME,"Shatter Me, #1.5"
"Jade City (The Green Bone Saga, #1)",TAHEREH MAFI,https://www.goodreads.com/book/show/43587154-jade-city,4.12,"                28,625",2017,338,560,Fantasy,JADE CITY,"The Green Bone Saga, #1"
"Angelfall (Penryn & the End of Days, #1)",FONDA LEE,https://www.goodreads.com/book/show/15863832-angelfall,4.11,"                183,882",2011,339,288,Fantasy,ANGELFALL,"Penryn & the End of Days, #1"
"The Kinder Poison (The Kinder Poison, #1)",SUSAN EE,https://www.goodreads.com/book/show/42893340-the-kinder-poison,3.93,"                4,215",2020,340,416,Fantasy,THE KINDER POISON,"The Kinder Poison, #1"
"Gideon the Ninth (The Locked Tomb, #1)",NATALIE MAE,https://www.goodreads.com/book/show/42036538-gideon-the-ninth,4.22,"                72,353",2019,341,448,Fantasy,GIDEON THE NINTH,"The Locked Tomb, #1"
"A Promise of Fire (Kingmaker Chronicles, #1)",TAMSYN MUIR,https://www.goodreads.com/book/show/59645282-a-promise-of-fire,4.04,"                29,984",2016,342,445,Fantasy,A PROMISE OF FIRE,"Kingmaker Chronicles, #1"
"Ash Princess (Ash Princess Trilogy, #1)",AMANDA BOUCHET,https://www.goodreads.com/book/show/32505753-ash-princess,3.89,"                51,643",2018,343,432,Fantasy,ASH PRINCESS,"Ash Princess Trilogy, #1"
"A Thousand Pieces of You (Firebird, #1)",LAURA SEBASTIAN,https://www.goodreads.com/book/show/17234658-a-thousand-pieces-of-you,3.9,"                55,156",2014,344,368,Young Adult,A THOUSAND PIECES OF YOU,"Firebird, #1"
"The Hunger Games (The Hunger Games, #1)",CLAUDIA GRAY,https://www.goodreads.com/book/show/2767052-the-hunger-games,4.32,"                7,402,811",2008,345,374,Young Adult,THE HUNGER GAMES,"The Hunger Games, #1"
A Million Kisses in Your Lifetime (Paperback),SUZANNE COLLINS,https://www.goodreads.com/book/show/60306208-a-million-kisses-in-your-lifetime,4.06,"                15,823",2022,346,Non,Romance,A MILLION KISSES IN YOUR LIFETIME,Paperback
A Lady of Rooksgrave Manor (Tempting Monsters #1),MONICA MURPHY,https://www.goodreads.com/book/show/56574777-a-lady-of-rooksgrave-manor,4.06,"                10,720",2021,347,376,Polyamorous,A LADY OF ROOKSGRAVE MANOR,Tempting Monsters #1
Ariadne (Hardcover),KATHRYN MOON,https://www.goodreads.com/book/show/54860614-ariadne,3.83,"                49,289",2021,348,320,Fantasy,ARIADNE,Hardcover
The Guest List (Hardcover),JENNIFER SAINT,https://www.goodreads.com/book/show/51933429-the-guest-list,3.85,"                587,080",2020,349,330,Mystery,THE GUEST LIST,Hardcover
"Feather (Angels of Elysium, #1)",LUCY FOLEY,https://www.goodreads.com/book/show/43701756-feather,4.05,"                5,012",2019,350,486,Fantasy,FEATHER,"Angels of Elysium, #1"
"The Gilded Ones (The Gilded Ones, #1)",NAMINA FORNA,https://www.goodreads.com/book/show/40024121-the-gilded-ones,4.03,"                29,704",2020,351,432,Fantasy,THE GILDED ONES,"The Gilded Ones, #1"
The Worst Best Man (ebook),MIA SOSA,https://www.goodreads.com/book/show/43801254-the-worst-best-man,3.6,"                42,792",2020,352,368,Romance,THE WORST BEST MAN,ebook
The Kite Runner (Paperback),KHALED HOSSEINI,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.32,"                2,775,161",2003,353,371,Fiction,THE KITE RUNNER,Paperback
"The Never King (Vicious Lost Boys, #1)",NIKKI ST CROWE,https://www.goodreads.com/book/show/59918505-the-never-king,3.84,"                20,390",2022,354,192,Fantasy,THE NEVER KING,"Vicious Lost Boys, #1"
The Spy Master,LAURELINE DUCROS,https://www.goodreads.com/book/show/59760078-the-spy-master,5.0,                2,hed ,355,Non,Thriller,THE SPY MASTER,
Better Than the Movies (Hardcover),LYNN PAINTER,https://www.goodreads.com/book/show/55710822-better-than-the-movies,4.24,"                26,238",2021,356,356,Romance,BETTER THAN THE MOVIES,Hardcover
"Lessons in Corruption (The Fallen Men, #1)",GIANA DARLING,https://www.goodreads.com/book/show/51480753-lessons-in-corruption,4.05,"                15,686",2017,357,406,Romance,LESSONS IN CORRUPTION,"The Fallen Men, #1"
Writers & Lovers (Hardcover),LILY KING,https://www.goodreads.com/book/show/45289222-writers-lovers,4.06,"                98,184",2020,358,320,Fiction,WRITERS & LOVERS,Hardcover
"The Simple Wild (Wild, #1)",KA TUCKER,https://www.goodreads.com/book/show/36373564-the-simple-wild,4.34,"                63,859",2018,359,400,Romance,THE SIMPLE WILD,"Wild, #1"
The Dark Tide (Hardcover),ALICIA JASINSKA,https://www.goodreads.com/book/show/52411049-the-dark-tide,3.49,"                5,125",2020,360,336,Fantasy,THE DARK TIDE,Hardcover
Salt to the Sea (Hardcover),RUTA SEPETYS,https://www.goodreads.com/book/show/25614492-salt-to-the-sea,4.35,"                165,911",2016,361,391,Historical,SALT TO THE SEA,Hardcover
"King of the South (Belgrave Dynasty, #1)",CALIA READ,https://www.goodreads.com/book/show/43365469-king-of-the-south,4.0,"                3,465",2020,362,404,Romance,KING OF THE SOUTH,"Belgrave Dynasty, #1"
"Kill Switch (Devil's Night, #3)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/58080310-kill-switch,4.36,"                39,713",2019,363,668,Romance,KILL SWITCH,"Devil's Night, #3"
"Love & Gelato (Love & Gelato, #1)",JENNA EVANS WELCH,https://www.goodreads.com/book/show/25756328-love-gelato,4.13,"                83,543",2016,364,389,Romance,LOVE & GELATO,"Love & Gelato, #1"
"Malice (Malice Duology, #1)",HEATHER WALTER,https://www.goodreads.com/book/show/51530580-malice,4.05,"                12,598",2021,365,470,Fantasy,MALICE,"Malice Duology, #1"
Lilac (Kindle Edition),BB REID,https://www.goodreads.com/book/show/56180769-lilac,3.9,"                16,468",2020,366,556,Polyamorous,LILAC,Kindle Edition
"Radiance (Wraith Kings, #1)",GRACE DRAVEN,https://www.goodreads.com/book/show/24473763-radiance,4.03,"                48,472",2015,367,297,Fantasy,RADIANCE,"Wraith Kings, #1"
"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/52775593-kings-of-quarantine,4.28,"                14,900",2020,368,556,Polyamorous,KINGS OF QUARANTINE,"Brutal Boys of Everlake Prep, #1"
"A Touch of Chaos (Hades & Persephone, #4)",SCARLETT ST CLAIR,https://www.goodreads.com/book/show/56670031-a-touch-of-chaos,4.21,                663,2023,369,Non,Fantasy,A TOUCH OF CHAOS,"Hades & Persephone, #4"
"A Heart So Fierce and Broken (Cursebreakers, #2)",BRIGID KEMMERER,https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken,3.94,"                45,307",2020,370,450,Fantasy,A HEART SO FIERCE AND BROKEN,"Cursebreakers, #2"
Down Comes the Night (Hardcover),ALLISON SAFT,https://www.goodreads.com/book/show/46189814-down-comes-the-night,3.81,"                5,047",2021,371,400,Fantasy,DOWN COMES THE NIGHT,Hardcover
Know My Name (ebook),CHANEL MILLER,https://www.goodreads.com/book/show/50196744-know-my-name,4.72,"                131,201",2019,372,384,Nonfiction,KNOW MY NAME,ebook
"Take a Hint, Dani Brown (The Brown Sisters, #2)",TALIA HIBBERT,https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown,4.07,"                68,752",2020,373,400,Romance,"TAKE A HINT, DANI BROWN","The Brown Sisters, #2"
"Skyhunter (Skyhunter, #1)",MARIE LU,https://www.goodreads.com/book/show/53174067-skyhunter,4.07,"                13,661",2020,374,371,Fantasy,SKYHUNTER,"Skyhunter, #1"
"Of Fire and Stars (Of Fire and Stars, #1)",AUDREY COULTHURST,https://www.goodreads.com/book/show/25164304-of-fire-and-stars,3.76,"                18,795",2016,375,389,Fantasy,OF FIRE AND STARS,"Of Fire and Stars, #1"
"Dipped In Holly (Nick and Holly, #1)",DANA ISALY,https://www.goodreads.com/book/show/59688355-dipped-in-holly,3.77,"                21,408",2021,376,66,Romance,DIPPED IN HOLLY,"Nick and Holly, #1"
"Carnage (Four Horsemen, #1)",SARAH BAILEY,https://www.goodreads.com/book/show/55135009-carnage,3.99,"                10,326",hed ,377,394,Polyamorous,CARNAGE,"Four Horsemen, #1"
"The High Mountain Court (The Five Crowns of Okrith, #1)",AK MULFORD,https://www.goodreads.com/book/show/58310153-the-high-mountain-court,3.91,"                8,033",hed ,378,354,Fantasy,THE HIGH MOUNTAIN COURT,"The Five Crowns of Okrith, #1"
"The Song of the Marked (Shadows and Crowns, #1)",SM GAITHER,https://www.goodreads.com/book/show/53902073-the-song-of-the-marked,4.09,"                4,480",2020,379,512,Fantasy,THE SONG OF THE MARKED,"Shadows and Crowns, #1"
"A Vow Of Hate (A Vow of Hate, #1)",LYLAH JAMES,https://www.goodreads.com/book/show/56037021-a-vow-of-hate,3.79,"                12,476",2021,380,327,Romance,A VOW OF HATE,"A Vow of Hate, #1"
Scars (The Triad #1),DANA ISALY,https://www.goodreads.com/book/show/57799987-scars,3.75,"                5,046",2021,381,282,Polyamorous,SCARS,The Triad #1
"The Doctor (Nashville Neighborhood, #1)",NIKKI SLOANE,https://www.goodreads.com/book/show/40702672-the-doctor,3.54,"                16,054",2018,382,296,Romance,THE DOCTOR,"Nashville Neighborhood, #1"
Heartstopper: Volume Four (Heartstopper #4),ALICE OSEMAN,https://www.goodreads.com/book/show/56060300-heartstopper,4.68,"                165,839",2021,383,384,Sequential Art,HEARTSTOPPER: VOLUME FOUR,Heartstopper #4
Everything I Know About Love (Hardcover),DOLLY ALDERTON,https://www.goodreads.com/book/show/46041465-everything-i-know-about-love,4.14,"                92,989",2018,384,368,Nonfiction,EVERYTHING I KNOW ABOUT LOVE,Hardcover
The Picture of Dorian Gray (Paperback),OSCAR WILDE,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,4.1,"                1,208,822",1890,385,272,Classics,THE PICTURE OF DORIAN GRAY,Paperback
"Glint (The Plated Prisoner, #2)",RAVEN KENNEDY,https://www.goodreads.com/book/show/56530123-glint,4.25,"                41,747",2021,386,441,Fantasy,GLINT,"The Plated Prisoner, #2"
"The Bromance Book Club (Bromance Book Club, #1)",LYSSA KAY ADAMS,https://www.goodreads.com/book/show/44019067-the-bromance-book-club,3.91,"                70,582",2019,387,352,Romance,THE BROMANCE BOOK CLUB,"Bromance Book Club, #1"
"Nightfall (Devil's Night, #4)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/58080352-nightfall,4.26,"                27,675",2020,388,752,Romance,NIGHTFALL,"Devil's Night, #4"
"What If It's Us (What If It's Us, #1)",BECKY ALBERTALLI,https://www.goodreads.com/book/show/36341204-what-if-it-s-us,3.87,"                113,082",2018,389,437,Romance,WHAT IF IT'S US,"What If It's Us, #1"
Piranesi (Hardcover),SUSANNA CLARKE,https://www.goodreads.com/book/show/50202953-piranesi,4.27,"                146,725",2020,390,245,Fantasy,PIRANESI,Hardcover
"Zero Repeat Forever (The Nahx Invasions, #1)",GABRIELLE S PRENDERGAST,https://www.goodreads.com/book/show/28945665-zero-repeat-forever,3.97,"                2,993",2017,391,496,Science Fiction,ZERO REPEAT FOREVER,"The Nahx Invasions, #1"
"Fracture Me (Shatter Me, #2.5)",TAHEREH MAFI,https://www.goodreads.com/book/show/17331518-fracture-me,3.55,"                64,800",2013,392,72,Science Fiction,FRACTURE ME,"Shatter Me, #2.5"
The Fault in Our Stars (Hardcover),JOHN GREEN,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,4.16,"                4,343,960",2012,393,313,Young Adult,THE FAULT IN OUR STARS,Hardcover
Anxious People (Paperback),FREDRIK BACKMAN,https://www.goodreads.com/book/show/53799686-anxious-people,4.2,"                419,556",2019,394,336,Fiction,ANXIOUS PEOPLE,Paperback
"Chain of Gold (The Last Hours, #1)",CASSANDRA CLARE,https://www.goodreads.com/book/show/17699853-chain-of-gold,4.44,"                75,479",2020,395,592,Fantasy,CHAIN OF GOLD,"The Last Hours, #1"
"The Final Gambit (The Inheritance Games, #3)",JENNIFER LYNN BARNES,https://www.goodreads.com/book/show/58658940-the-final-gambit,4.59,                449,2022,396,400,Mystery,THE FINAL GAMBIT,"The Inheritance Games, #3"
Seven Days in June (Hardcover),TIA WILLIAMS,https://www.goodreads.com/book/show/55648820-seven-days-in-june,4.1,"                55,235",2021,397,336,Romance,SEVEN DAYS IN JUNE,Hardcover
Tender is the Flesh (Paperback),AGUSTINA BAZTERRICA,https://www.goodreads.com/book/show/49090884-tender-is-the-flesh,3.9,"                51,081",2017,398,211,Horror,TENDER IS THE FLESH,Paperback
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",TOSHIKAZU KAWAGUCHI,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,3.75,"                101,942",2015,399,213,Fiction,BEFORE THE COFFEE GETS COLD,"Before the Coffee Gets Cold, #1"
"All of Us Villains (All of Us Villains, #1)",(著),https://www.goodreads.com/book/show/56179338-all-of-us-villains,3.95,"                10,193",2021,400,400,Fantasy,ALL OF US VILLAINS,"All of Us Villains, #1"
The Last Thing He Told Me (Hardcover),LAURA DAVE,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,3.9,"                434,978",2021,401,320,Mystery,THE LAST THING HE TOLD ME,Hardcover
Then She Was Gone (Hardcover),LISA JEWELL,https://www.goodreads.com/book/show/35297426-then-she-was-gone,4.06,"                380,264",2017,402,359,Mystery,THEN SHE WAS GONE,Hardcover
"Bring Me Their Hearts (Bring Me Their Hearts, #1)",SARA WOLF,https://www.goodreads.com/book/show/35144326-bring-me-their-hearts,4.05,"                9,868",2018,403,370,Fantasy,BRING ME THEIR HEARTS,"Bring Me Their Hearts, #1"
The Grace Year (Hardcover),KIM LIGGETT,https://www.goodreads.com/book/show/43263520-the-grace-year,4.15,"                67,040",2019,404,416,Young Adult,THE GRACE YEAR,Hardcover
The Octunnumi Fosbit Files Prologue (Paperback),TREVOR ALAN FORIS,https://www.goodreads.com/book/show/52233178-the-octunnumi-fosbit-files-prologue,4.07,"                8,939",2020,405,520,Fantasy,THE OCTUNNUMI FOSBIT FILES PROLOGUE,Paperback
I'm Thinking of Ending Things (Kindle Edition),IAIN REID,https://www.goodreads.com/book/show/40605223-i-m-thinking-of-ending-things,3.59,"                103,526",2016,406,241,Horror,I'M THINKING OF ENDING THINGS,Kindle Edition
"Prodigy (Legend, #2)",MARIE LU,https://www.goodreads.com/book/show/13414446-prodigy,4.24,"                236,989",2013,407,371,Science Fiction,PRODIGY,"Legend, #2"
Turtles All the Way Down (Hardcover),JOHN GREEN,https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down,3.92,"                449,459",2017,408,290,Young Adult,TURTLES ALL THE WAY DOWN,Hardcover
Pride and Prejudice (Paperback),JANE AUSTEN,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,4.28,"                3,618,632",1813,409,279,Classics,PRIDE AND PREJUDICE,Paperback
"Hideaway (Devil's Night, #2)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/29082755-hideaway,4.1,"                46,881",2017,410,466,Romance,HIDEAWAY,"Devil's Night, #2"
"Written in the Stars (Written in the Stars, #1)",ALEXANDRIA BELLEFLEUR,https://www.goodreads.com/book/show/51179990-written-in-the-stars,3.92,"                27,136",2020,411,384,Romance,WRITTEN IN THE STARS,"Written in the Stars, #1"
Little Fires Everywhere (Hardcover),CELESTE NG,https://www.goodreads.com/book/show/34273236-little-fires-everywhere,4.09,"                965,040",2017,412,338,Fiction,LITTLE FIRES EVERYWHERE,Hardcover
"Scarred (Never After, #2)",EMILY MCINTIRE,https://www.goodreads.com/book/show/59512586-scarred,4.09,"                15,603",2022,413,388,Romance,SCARRED,"Never After, #2"
Frivolous (Kindle Edition),VERONICA LANCET,https://www.goodreads.com/book/show/58604190-frivolous,4.0,"                1,481",hed ,414,468,Dark,FRIVOLOUS,Kindle Edition
Gothikana (Kindle Edition),RUNYX,https://www.goodreads.com/book/show/57426932-gothikana,4.12,"                8,988",2021,415,456,Romance,GOTHIKANA,Kindle Edition
Things Have Gotten Worse Since We Last Spoke (Kindle Edition),ERIC LAROCCA,https://www.goodreads.com/book/show/57876868-things-have-gotten-worse-since-we-last-spoke,3.07,"                24,363",2021,416,102,Horror,THINGS HAVE GOTTEN WORSE SINCE WE LAST SPOKE,Kindle Edition
The Wolf and the Woodsman (Hardcover),AVA REID,https://www.goodreads.com/book/show/48915408-the-wolf-and-the-woodsman,3.59,"                11,199",2021,417,448,Fantasy,THE WOLF AND THE WOODSMAN,Hardcover
The Ex Talk (Kindle Edition),RACHEL LYNN SOLOMON,https://www.goodreads.com/book/show/53415121-the-ex-talk,3.77,"                48,926",2021,418,336,Romance,THE EX TALK,Kindle Edition
The Witch's Heart (Hardcover),GENEVIEVE GORNICHEC,https://www.goodreads.com/book/show/53438195-the-witch-s-heart,4.08,"                25,565",2021,419,359,Fantasy,THE WITCH'S HEART,Hardcover
"The Dare (Briar U, #4)",ELLE KENNEDY,https://www.goodreads.com/book/show/52918684-the-dare,3.81,"                43,951",2020,420,354,Romance,THE DARE,"Briar U, #4"
The Light We Lost (Hardcover),JILL SANTOPOLO,https://www.goodreads.com/book/show/32956365-the-light-we-lost,3.87,"                120,867",2017,421,328,Romance,THE LIGHT WE LOST,Hardcover
The One (Kindle Edition),JOHN MARRS,https://www.goodreads.com/book/show/40670312-the-one,4.12,"                100,340",2016,422,291,Thriller,THE ONE,Kindle Edition
"Twilight (The Twilight Saga, #1)",STEPHENIE MEYER,https://www.goodreads.com/book/show/41865.Twilight,3.63,"                5,757,856",2005,423,498,Fantasy,TWILIGHT,"The Twilight Saga, #1"
"The Last Magician (The Last Magician, #1)",LISA MAXWELL,https://www.goodreads.com/book/show/30312855-the-last-magician,4.06,"                17,087",2017,424,500,Fantasy,THE LAST MAGICIAN,"The Last Magician, #1"
Gods of Jade and Shadow (Hardcover),SILVIA MORENO-GARCIA,https://www.goodreads.com/book/show/36510722-gods-of-jade-and-shadow,3.91,"                46,444",2019,425,338,Fantasy,GODS OF JADE AND SHADOW,Hardcover
"Hush, Hush (Hush, Hush, #1)",BECCA FITZPATRICK,https://www.goodreads.com/book/show/6339664-hush-hush,3.94,"                652,244",2009,426,391,Young Adult,"HUSH, HUSH","Hush, Hush, #1"
She Drives Me Crazy (ebook),KELLY QUINDLEN,https://www.goodreads.com/book/show/52516406-she-drives-me-crazy,4.06,"                24,858",2021,427,288,Romance,SHE DRIVES ME CRAZY,ebook
"Oath Taker (Kingdom of Runes, #1)",AUDREY GREY,https://www.goodreads.com/book/show/44163860-oath-taker,3.85,"                9,384",2019,428,369,Fantasy,OATH TAKER,"Kingdom of Runes, #1"
"A Ruin of Roses (Deliciously Dark Fairytales, #1)",KF BREENE,https://www.goodreads.com/book/show/58785677-a-ruin-of-roses,3.89,"                21,530",2021,429,386,Fantasy,A RUIN OF ROSES,"Deliciously Dark Fairytales, #1"
