title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format,rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,book_image,amazon_product_url,week,nyt_list
Choosing Theo (Clecanian #1),VICTORIA AVELINE,https://www.goodreads.com/book/show/51479476-choosing-theo,4.19,"                11,883",2020,1038.0,383,Romance,CHOOSING THEO,Clecanian #1,,,,,,,,,,
Lilah (ebook),ASHLYN MONTGOMERY,https://www.goodreads.com/book/show/56516194-lilah,4.31,"                10,558",hed ,1039.0,Non,Romance,LILAH,ebook,,,,,,,,,,
"Riggs (The Kings of Retribution, Louisiana Chapter, #1)",SANDY ALVAREZ,https://www.goodreads.com/book/show/50138807-riggs,4.15,"                4,912",2019,1040.0,226,Romance,RIGGS,"The Kings of Retribution, Louisiana Chapter, #1",,,,,,,,,,
"Carnal Urges (Queens & Monsters, #2)",JT GEISSINGER,https://www.goodreads.com/book/show/57101782-carnal-urges,4.33,"                13,422",2021,1041.0,358,Romance,CARNAL URGES,"Queens & Monsters, #2",,,,,,,,,,
"Filthy Rich (The Five Points' Mob Collection, #2)",SERENA AKEROYD,https://www.goodreads.com/book/show/58693619-filthy-rich,4.08,"                6,460",2020,1042.0,348,Romance,FILTHY RICH,"The Five Points' Mob Collection, #2",,,,,,,,,,
"Reign of a King (Kingdom Duet, #1)",RINA KENT,https://www.goodreads.com/book/show/53401044-reign-of-a-king,4.2,"                10,072",2020,1043.0,352,Romance,REIGN OF A KING,"Kingdom Duet, #1",,,,,,,,,,
Unlawful Temptations (Star-Crossed Book One),ALEXANDRIA LEE,https://www.goodreads.com/book/show/57992291-unlawful-temptations,3.9,"                1,242",hed ,1044.0,Non,Romance,UNLAWFUL TEMPTATIONS,Star-Crossed Book One,,,,,,,,,,
"The Rebel (Kingmakers, #2)",SOPHIE LARK,https://www.goodreads.com/book/show/57677901-the-rebel,4.32,"                9,136",2021,1045.0,528,Romance,THE REBEL,"Kingmakers, #2",,,,,,,,,,
The Masks We Wear (Kindle Edition),LEE JACQUOT,https://www.goodreads.com/book/show/57064610-the-masks-we-wear,3.49,                909,2021,1046.0,243,Romance,THE MASKS WE WEAR,Kindle Edition,,,,,,,,,,
"If the Shoe Fits (Meant to Be, #1)",JULIE MURPHY,https://www.goodreads.com/book/show/55660420-if-the-shoe-fits,4.03,"                19,205",2021,1047.0,304,Romance,IF THE SHOE FITS,"Meant to Be, #1",,,,,,,,,,
Paradise (The Paradise Club #1),JA LOW,https://www.goodreads.com/book/show/53042977-paradise,4.22,"                2,800",hed ,1048.0,316,Romance,PARADISE,The Paradise Club #1,,,,,,,,,,
Hating the Boss (paperback),KRISTEN GRANATA,https://www.goodreads.com/book/show/57626797-hating-the-boss,3.77,"                1,792",hed ,1049.0,Non,Romance,HATING THE BOSS,paperback,,,,,,,,,,
"When Heroes Fall (Anti-Heroes in Love, #1)",GIANA DARLING,https://www.goodreads.com/book/show/48714414-when-heroes-fall,4.14,"                8,544",2021,1050.0,Non,Romance,WHEN HEROES FALL,"Anti-Heroes in Love, #1",,,,,,,,,,
"Gods & Monsters (Gods & Monsters, #1)",JANIE MARIE,https://www.goodreads.com/book/show/50761366-gods-monsters,3.48,"                1,749",2012,1051.0,378,Fantasy,GODS & MONSTERS,"Gods & Monsters, #1",,,,,,,,,,
"Wolf (The Brotherhood, #1)",PENELOPE BLACK,https://www.goodreads.com/book/show/55712371-wolf,4.09,"                4,115",2020,1052.0,259,Polyamorous,WOLF,"The Brotherhood, #1",,,,,,,,,,
Fangirl (Kindle Edition),RAINBOW ROWELL,https://www.goodreads.com/book/show/16068905-fangirl,3.99,"                683,121",2013,1053.0,483,Young Adult,FANGIRL,Kindle Edition,8.0,0.0,1.0,9781250073808,St. Martin's Griffin,"Cath, a writer of popular fan fiction, struggles during her freshman year at college.",https://storage.googleapis.com/du-prd/books/images/9781250073808.jpg,http://www.amazon.com/Fangirl-A-Novel-Rainbow-Rowell/dp/1250073804?tag=NYTBSREV-20,2015-08-30,Young Adult Hardcover
"Fighting Conviction (Conviction, #2)",GREER RIVERS,https://www.goodreads.com/book/show/56780278-fighting-conviction,3.79,"                1,726",2021,1054.0,390,Romance,FIGHTING CONVICTION,"Conviction, #2",,,,,,,,,,
"Bitter Heat (Singed, #1)",MIA KNIGHT,https://www.goodreads.com/book/show/44160830-bitter-heat,4.07,"                4,531",2019,1055.0,298,Romance,BITTER HEAT,"Singed, #1",,,,,,,,,,
"Twisted Pride (The Camorra Chronicles, #3)",CORA REILLY,https://www.goodreads.com/book/show/43721791-twisted-pride,4.23,"                22,866",2019,1056.0,419,Romance,TWISTED PRIDE,"The Camorra Chronicles, #3",,,,,,,,,,
"Idol (VIP, #1)",KRISTEN CALLIHAN,https://www.goodreads.com/book/show/29541818-idol,4.02,"                31,920",2016,1057.0,339,Romance,IDOL,"VIP, #1",,,,,,,,,,
"Puck Me Secretly (Vancouver Wolves Hockey, #1)",ODETTE STONE,https://www.goodreads.com/book/show/45170538-puck-me-secretly,4.17,"                18,152",2018,1058.0,409,Romance,PUCK ME SECRETLY,"Vancouver Wolves Hockey, #1",,,,,,,,,,
"Monster in His Eyes (Monster in His Eyes, #1)",JM DARHOWER,https://www.goodreads.com/book/show/21956060-monster-in-his-eyes,4.1,"                33,009",2014,1059.0,351,Romance,MONSTER IN HIS EYES,"Monster in His Eyes, #1",,,,,,,,,,
"Rival (Fall Away, #2)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/18129852-rival,4.08,"                42,113",2014,1060.0,366,Romance,RIVAL,"Fall Away, #2",,,,,,,,,,
In the Ravenous Dark (Hardcover),AM STRICKLAND,https://www.goodreads.com/book/show/54017941-in-the-ravenous-dark,3.84,"                3,205",2021,1061.0,400,Fantasy,IN THE RAVENOUS DARK,Hardcover,,,,,,,,,,
"Addicted After All (Addicted, #5)",KRISTA RITCHIE,https://www.goodreads.com/book/show/55475504-addicted-after-all,4.51,"                21,217",2014,1062.0,534,Romance,ADDICTED AFTER ALL,"Addicted, #5",,,,,,,,,,
Captivated (Kindle Edition),TESSA BAILEY,https://www.goodreads.com/book/show/40167229-captivated,3.93,"                3,780",2018,1063.0,350,Romance,CAPTIVATED,Kindle Edition,,,,,,,,,,
"Last (Copperslane, #1)",GARNET CHRISTIE,https://www.goodreads.com/book/show/57370774-last,3.31,"                1,207",hed ,1064.0,299,Romance,LAST,"Copperslane, #1",,,,,,,,,,
Built to Fall (Kindle Edition),JULIA WOLF,https://www.goodreads.com/book/show/60727479-built-to-fall,4.26,"                3,311",2021,1065.0,Non,Romance,BUILT TO FALL,Kindle Edition,,,,,,,,,,
"The Sea Witch (Wicked Villains, #5)",KATEE ROBERT,https://www.goodreads.com/book/show/52719723-the-sea-witch,3.51,"                4,224",2020,1066.0,275,Romance,THE SEA WITCH,"Wicked Villains, #5",,,,,,,,,,
The Princess Trap (Paperback),TALIA HIBBERT,https://www.goodreads.com/book/show/56590794-the-princess-trap,3.78,"                8,044",2018,1067.0,350,Romance,THE PRINCESS TRAP,Paperback,,,,,,,,,,
The Push (Hardcover),ASHLEY AUDRAIN,https://www.goodreads.com/book/show/52476830-the-push,4.1,"                188,579",2021,1068.0,307,Fiction,THE PUSH,Hardcover,6.0,0.0,1.0,9781984881663,Pamela Dorman,A devastating event forces a mother who questions her child’s behavior and her own sanity to confront the truth.,https://storage.googleapis.com/du-prd/books/images/9781984881663.jpg,https://www.amazon.com/dp/1984881663?tag=NYTBSREV-20,2021-02-07,Combined Print & E-Book Fiction
Some Kind of Perfect (Calloway Sisters #5),KRISTA RITCHIE,https://www.goodreads.com/book/show/26148181-some-kind-of-perfect,4.7,"                12,471",2016,1069.0,664,Romance,SOME KIND OF PERFECT,Calloway Sisters #5,,,,,,,,,,
Signs of Cupidity (Heart Hassle #1),RAVEN KENNEDY,https://www.goodreads.com/book/show/41451010-signs-of-cupidity,4.18,"                13,798",2018,1070.0,290,Polyamorous,SIGNS OF CUPIDITY,Heart Hassle #1,,,,,,,,,,
Binding 13 (Boys of Tommen #1),CHLOE WALSH,https://www.goodreads.com/book/show/40944965-binding-13,4.47,"                7,292",2018,1071.0,887,Romance,BINDING 13,Boys of Tommen #1,,,,,,,,,,
"Phoenix Unbound (Fallen Empire, #1)",GRACE DRAVEN,https://www.goodreads.com/book/show/34817019-phoenix-unbound,4.01,"                11,849",2018,1072.0,431,Fantasy,PHOENIX UNBOUND,"Fallen Empire, #1",,,,,,,,,,
"City in Embers (Collector, #1)",STACEY MARIE BROWN,https://www.goodreads.com/book/show/23531413-city-in-embers,4.12,"                6,984",2015,1073.0,458,Fantasy,CITY IN EMBERS,"Collector, #1",,,,,,,,,,
"The Kingdom of Copper (The Daevabad Trilogy, #2)",SA CHAKRABORTY,https://www.goodreads.com/book/show/39988431-the-kingdom-of-copper,4.4,"                42,067",2019,1074.0,625,Fantasy,THE KINGDOM OF COPPER,"The Daevabad Trilogy, #2",,,,,,,,,,
"La Mémoire de Babel (La Passe-Miroir, #3)",CHRISTELLE DABOS,https://www.goodreads.com/book/show/32903079-la-m-moire-de-babel,4.27,"                33,421",2017,1075.0,496,Fantasy,LA MÉMOIRE DE BABEL,"La Passe-Miroir, #3",,,,,,,,,,
"The Heart of Betrayal (The Remnant Chronicles, #2)",MARY E PEARSON,https://www.goodreads.com/book/show/21569527-the-heart-of-betrayal,4.23,"                61,258",2015,1076.0,473,Fantasy,THE HEART OF BETRAYAL,"The Remnant Chronicles, #2",,,,,,,,,,
My Best Friend's Exorcism (Kindle Edition),GRADY HENDRIX,https://www.goodreads.com/book/show/41015038-my-best-friend-s-exorcism,3.98,"                54,319",2016,1077.0,337,Horror,MY BEST FRIEND'S EXORCISM,Kindle Edition,,,,,,,,,,
"A Gathering of Shadows (Shades of Magic, #2)",VE SCHWAB,https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows,4.24,"                149,141",2016,1078.0,512,Fantasy,A GATHERING OF SHADOWS,"Shades of Magic, #2",,,,,,,,,,
"The Golem and the Jinni (The Golem and the Jinni, #1)",HELENE WECKER,https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni,4.11,"                114,883",2013,1079.0,486,Fantasy,THE GOLEM AND THE JINNI,"The Golem and the Jinni, #1",15.0,0.0,1.0,9780062110855,HarperCollins,A chance meeting between mythical beings leads to a journey through cultures in New York at the turn of the 20th century. ,https://storage.googleapis.com/du-prd/books/images/9780062110831.jpg,http://www.amazon.com/Golem-Jinni-P-S-Helene-Wecker-ebook/dp/B008QXVDJ0?tag=NYTBSREV-20,2014-02-09,Combined Print & E-Book Fiction
Baby Teeth (Hardcover),ZOJE STAGE,https://www.goodreads.com/book/show/35410511-baby-teeth,3.63,"                50,393",2018,1080.0,304,Horror,BABY TEETH,Hardcover,,,,,,,,,,
The Last True Poets of the Sea (Hardcover),JULIA DRAKE,https://www.goodreads.com/book/show/41783734-the-last-true-poets-of-the-sea,3.95,"                6,896",2019,1081.0,400,Young Adult,THE LAST TRUE POETS OF THE SEA,Hardcover,,,,,,,,,,
The Places I've Cried in Public (Kindle Edition),HOLLY BOURNE,https://www.goodreads.com/book/show/44004352-the-places-i-ve-cried-in-public,4.06,"                10,487",2019,1082.0,368,Contemporary,THE PLACES I'VE CRIED IN PUBLIC,Kindle Edition,,,,,,,,,,
The Only Good Indians (Hardcover),STEPHEN GRAHAM JONES,https://www.goodreads.com/book/show/52180399-the-only-good-indians,3.73,"                47,528",2020,1083.0,336,Horror,THE ONLY GOOD INDIANS,Hardcover,,,,,,,,,,
"The Program (The Program, #1)",SUZANNE YOUNG,https://www.goodreads.com/book/show/11366397-the-program,4.05,"                50,634",2013,1084.0,405,Young Adult,THE PROGRAM,"The Program, #1",,,,,,,,,,
Jane Eyre (Paperback),CHARLOTTE BRONTË,https://www.goodreads.com/book/show/10210.Jane_Eyre,4.14,"                1,856,818",1847,1085.0,532,Classics,JANE EYRE,Paperback,,,,,,,,,,
Lock Every Door (ebook),RILEY SAGER,https://www.goodreads.com/book/show/41837243-lock-every-door,3.91,"                127,677",2019,1086.0,381,Thriller,LOCK EVERY DOOR,ebook,,,,,,,,,,
The Great Alone (Kindle Edition),KRISTIN HANNAH,https://www.goodreads.com/book/show/34912895-the-great-alone,4.37,"                541,349",2018,1087.0,435,Fiction,THE GREAT ALONE,Kindle Edition,1.0,0.0,1.0,9781250165619,St. Martin's,"A former prisoner of war returns from Vietnam and moves his family to Alaska, where they face tough conditions.",https://storage.googleapis.com/du-prd/books/images/9781250165619.jpg,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah-ebook/dp/B06Y5WRS2C?tag=NYTBSREV-20,2018-02-25,Combined Print & E-Book Fiction
"The Hundred Thousand Kingdoms (Inheritance, #1)",NK JEMISIN,https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms,3.88,"                66,047",2010,1088.0,427,Fantasy,THE HUNDRED THOUSAND KINGDOMS,"Inheritance, #1",,,,,,,,,,
"Neverwhere (London Below, #1)",NEIL GAIMAN,https://www.goodreads.com/book/show/14497.Neverwhere,4.17,"                477,688",1996,1089.0,370,Fantasy,NEVERWHERE,"London Below, #1",,,,,,,,,,
Death in Her Hands (Hardcover),OTTESSA MOSHFEGH,https://www.goodreads.com/book/show/52878453-death-in-her-hands,3.26,"                20,918",2020,1090.0,259,Fiction,DEATH IN HER HANDS,Hardcover,,,,,,,,,,
My Favorite Half-Night Stand (Paperback),CHRISTINA LAUREN,https://www.goodreads.com/book/show/38357345-my-favorite-half-night-stand,3.78,"                55,106",2018,1091.0,384,Romance,MY FAVORITE HALF-NIGHT STAND,Paperback,,,,,,,,,,
Romanov (Hardcover),NADINE BRANDES,https://www.goodreads.com/book/show/40590407-romanov,3.77,"                11,262",2019,1092.0,337,Fantasy,ROMANOV,Hardcover,,,,,,,,,,
"The Language of Thorns: Midnight Tales and Dangerous Magic (Grishaverse, #0.5, 2.5, 2.6)",LEIGH BARDUGO,https://www.goodreads.com/book/show/34076952-the-language-of-thorns,4.34,"                47,197",2017,1093.0,281,Fantasy,THE LANGUAGE OF THORNS: MIDNIGHT TALES AND DANGEROUS MAGIC,"Grishaverse, #0.5, 2.5, 2.6",,,,,,,,,,
Switched (Trylle #1),AMANDA HOCKING,https://www.goodreads.com/book/show/12180581-switched,3.87,"                97,709",2010,1094.0,216,Fantasy,SWITCHED,Trylle #1,,,,,,,,,,
Sawkill Girls (Hardcover),CLAIRE LEGRAND,https://www.goodreads.com/book/show/38139409-sawkill-girls,3.68,"                14,962",2018,1095.0,447,Horror,SAWKILL GIRLS,Hardcover,,,,,,,,,,
The City We Became (Hardcover),NK JEMISIN,https://www.goodreads.com/book/show/42074525-the-city-we-became,3.92,"                49,315",2020,1096.0,437,Fantasy,THE CITY WE BECAME,Hardcover,13.0,0.0,1.0,9780316509848,Orbit,People from different walks of life in New York City receive messages through various senses.,https://storage.googleapis.com/du-prd/books/images/9780316509848.jpg,https://www.amazon.com/dp/0316509841?tag=NYTBSREV-20,2020-04-12,Combined Print & E-Book Fiction
"Good Gone Bad (The Fallen Men, #3)",GIANA DARLING,https://www.goodreads.com/book/show/51480791-good-gone-bad,4.12,"                10,008",2018,1097.0,392,Romance,GOOD GONE BAD,"The Fallen Men, #3",,,,,,,,,,
"Until Friday Night (The Field Party, #1)",ABBI GLINES,https://www.goodreads.com/book/show/22522202-until-friday-night,3.93,"                52,792",2015,1098.0,336,Romance,UNTIL FRIDAY NIGHT,"The Field Party, #1",,,,,,,,,,
The Whisper Man (Hardcover),ALEX NORTH,https://www.goodreads.com/book/show/41940236-the-whisper-man,4.04,"                118,248",2019,1099.0,355,Thriller,THE WHISPER MAN,Hardcover,,,,,,,,,,
The Turn of the Key (Hardcover),RUTH WARE,https://www.goodreads.com/book/show/42080142-the-turn-of-the-key,3.94,"                200,879",2019,1100.0,337,Mystery,THE TURN OF THE KEY,Hardcover,5.0,0.0,1.0,9781501188770,Scout,A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.,https://storage.googleapis.com/du-prd/books/images/9781501188770.jpg,https://www.amazon.com/Turn-Key-Ruth-Ware/dp/1501188771?tag=NYTBSREV-20,2019-08-25,Combined Print & E-Book Fiction
Stolen Songbird (The Malediction Trilogy #1),DANIELLE L JENSEN,https://www.goodreads.com/book/show/55787191-stolen-songbird,3.91,"                26,408",2014,1101.0,358,Fantasy,STOLEN SONGBIRD,The Malediction Trilogy #1,,,,,,,,,,
The Unrequited (Paperback),SAFFRON A KENT,https://www.goodreads.com/book/show/34839067-the-unrequited,4.0,"                11,640",2017,1102.0,340,Romance,THE UNREQUITED,Paperback,,,,,,,,,,
My Heart and Other Black Holes (Kindle Edition),JASMINE WARGA,https://www.goodreads.com/book/show/18336965-my-heart-and-other-black-holes,3.98,"                51,813",2015,1103.0,302,Young Adult,MY HEART AND OTHER BLACK HOLES,Kindle Edition,,,,,,,,,,
Rebecca (ebook),DAPHNE DU MAURIER,https://www.goodreads.com/book/show/17899948-rebecca,4.24,"                543,446",1938,1104.0,449,Classics,REBECCA,ebook,,,,,,,,,,
When We Collided (Hardcover),EMERY LORD,https://www.goodreads.com/book/show/25663637-when-we-collided,3.84,"                23,683",2016,1105.0,352,Young Adult,WHEN WE COLLIDED,Hardcover,,,,,,,,,,
"Thunderhead (Arc of a Scythe, #2)",NEAL SHUSTERMAN,https://www.goodreads.com/book/show/33555224-thunderhead,4.43,"                119,716",2018,1106.0,504,Young Adult,THUNDERHEAD,"Arc of a Scythe, #2",3.0,0.0,1.0,9781442472457,Simon & Schuster,Will the Thunderhead intervene when the scythedom spirals out of control?,https://storage.googleapis.com/du-prd/books/images/9781442472457.jpg,https://www.amazon.com/Thunderhead-Arc-Scythe-Neal-Shusterman/dp/1442472456?tag=NYTBSREV-20,2018-01-28,Young Adult Hardcover
"Broken Throne (Red Queen, #4.5)",VICTORIA AVEYARD,https://www.goodreads.com/book/show/42083967-broken-throne,3.93,"                24,626",2019,1107.0,400,Fantasy,BROKEN THRONE,"Red Queen, #4.5",,,,,,,,,,
"City of Ashes (The Mortal Instruments, #2)",CASSANDRA CLARE,https://www.goodreads.com/book/show/1582996.City_of_Ashes,4.13,"                852,165",2008,1108.0,453,Fantasy,CITY OF ASHES,"The Mortal Instruments, #2",,,,,,,,,,
Winterwood (Hardcover),SHEA ERNSHAW,https://www.goodreads.com/book/show/43822698-winterwood,3.86,"                17,198",2019,1109.0,323,Fantasy,WINTERWOOD,Hardcover,,,,,,,,,,
"Ruthless Knight (Royal Hearts Academy, #2)",ASHLEY JADE,https://www.goodreads.com/book/show/50877284-ruthless-knight,4.34,"                15,908",2020,1110.0,608,Romance,RUTHLESS KNIGHT,"Royal Hearts Academy, #2",,,,,,,,,,
"The Girl in the Tower (The Winternight Trilogy, #2)",KATHERINE ARDEN,https://www.goodreads.com/book/show/34050917-the-girl-in-the-tower,4.34,"                79,362",2017,1111.0,360,Fantasy,THE GIRL IN THE TOWER,"The Winternight Trilogy, #2",,,,,,,,,,
"The Other Side of the Sky (The Other Side of the Sky, #1)",AMIE KAUFMAN,https://www.goodreads.com/book/show/40599772-the-other-side-of-the-sky,3.9,"                4,109",2020,1112.0,432,Fantasy,THE OTHER SIDE OF THE SKY,"The Other Side of the Sky, #1",,,,,,,,,,
Love From A to Z (Kindle Edition),SK ALI,https://www.goodreads.com/book/show/40148146-love-from-a-to-z,4.16,"                14,235",2019,1113.0,384,Romance,LOVE FROM A TO Z,Kindle Edition,,,,,,,,,,
"These Feathered Flames (These Feathered Flames, #1)",ALEXANDRA OVERY,https://www.goodreads.com/book/show/50798935-these-feathered-flames,3.84,"                1,663",2021,1114.0,496,Fantasy,THESE FEATHERED FLAMES,"These Feathered Flames, #1",,,,,,,,,,
She's Too Pretty to Burn (Hardcover),WENDY HEARD,https://www.goodreads.com/book/show/51591602-she-s-too-pretty-to-burn,3.62,"                4,473",2021,1115.0,336,LGBT,SHE'S TOO PRETTY TO BURN,Hardcover,,,,,,,,,,
A Kingdom of Exiles (Outcast #1),SB NOVA,https://www.goodreads.com/book/show/37584808-a-kingdom-of-exiles,4.13,"                6,290",2017,1116.0,600,Fantasy,A KINGDOM OF EXILES,Outcast #1,,,,,,,,,,
The Leaving (Hardcover),TARA ALTEBRANDO,https://www.goodreads.com/book/show/26073074-the-leaving,3.42,"                14,125",2016,1117.0,421,Mystery,THE LEAVING,Hardcover,,,,,,,,,,
Emergency Contact (Hardcover),MARY HK CHOI,https://www.goodreads.com/book/show/35297272-emergency-contact,3.67,"                36,895",2018,1118.0,394,Romance,EMERGENCY CONTACT,Hardcover,,,,,,,,,,
"The Princess Will Save You (Kingdoms of Sand and Sky, #1)",SARAH HENNING,https://www.goodreads.com/book/show/43603825-the-princess-will-save-you,3.55,"                3,323",2020,1119.0,368,Fantasy,THE PRINCESS WILL SAVE YOU,"Kingdoms of Sand and Sky, #1",,,,,,,,,,
Everyone in This Room Will Someday Be Dead (Hardcover),EMILY R AUSTIN,https://www.goodreads.com/book/show/55711706-everyone-in-this-room-will-someday-be-dead,3.84,"                18,477",2021,1120.0,256,Fiction,EVERYONE IN THIS ROOM WILL SOMEDAY BE DEAD,Hardcover,,,,,,,,,,
Pack Up the Moon (Paperback),KRISTAN HIGGINS,https://www.goodreads.com/book/show/55445159-pack-up-the-moon,4.31,"                9,238",2021,1121.0,480,Romance,PACK UP THE MOON,Paperback,,,,,,,,,,
The Four Leaf (Kindle Edition),LEE JACQUOT,https://www.goodreads.com/book/show/60237051-the-four-leaf,3.85,"                5,934",hed ,1122.0,106,Romance,THE FOUR LEAF,Kindle Edition,,,,,,,,,,
Say You Swear,MEAGAN BRANDY,https://www.goodreads.com/book/show/58925247-say-you-swear,4.55,"                12,662",2022,1123.0,Non,Romance,SAY YOU SWEAR,,,,,,,,,,,
"City of Gods and Monsters (House of Devils, #1)",KAYLA EDWARDS,https://www.goodreads.com/book/show/59820919-city-of-gods-and-monsters,4.01,"                1,211",hed ,1124.0,760,Fantasy,CITY OF GODS AND MONSTERS,"House of Devils, #1",,,,,,,,,,
"Make Me Lie (Rich Demons of Darkwood, #1)",CR JANE,https://www.goodreads.com/book/show/58702791-make-me-lie,4.26,"                1,675",2021,1125.0,Non,Polyamorous,MAKE ME LIE,"Rich Demons of Darkwood, #1",,,,,,,,,,
The Book of Azrael (Gods and Monsters #1),AMBER NICOLE,https://www.goodreads.com/book/show/59986018-the-book-of-azrael,4.28,                820,hed ,1126.0,841,Fantasy,THE BOOK OF AZRAEL,Gods and Monsters #1,,,,,,,,,,
Set on You (Paperback),AMY LEA,https://www.goodreads.com/book/show/58784485-set-on-you,3.82,"                4,588",2022,1127.0,384,Romance,SET ON YOU,Paperback,,,,,,,,,,
"Empire of Sin (Empire, #2)",RINA KENT,https://www.goodreads.com/book/show/58511140-empire-of-sin,4.12,"                8,102",2022,1128.0,406,Romance,EMPIRE OF SIN,"Empire, #2",,,,,,,,,,
Darling Girl: A Novel of Peter Pan (Hardcover),LIZ MICHALSKI,https://www.goodreads.com/book/show/58065362-darling-girl,3.62,"                7,243",hed ,1129.0,352,Fantasy,DARLING GIRL: A NOVEL OF PETER PAN,Hardcover,,,,,,,,,,
"The Secrets in Shadow and Blood (Season of the Vampire, #1; Fae Guardians, #4)",LANA PECHERCZYK,https://www.goodreads.com/book/show/56872103-the-secrets-in-shadow-and-blood,4.14,"                2,395",2021,1130.0,415,Fantasy,THE SECRETS IN SHADOW AND BLOOD,"Season of the Vampire, #1; Fae Guardians, #4",,,,,,,,,,
The Girl Who Fell Beneath the Sea (Hardcover),AXIE OH,https://www.goodreads.com/book/show/56978100-the-girl-who-fell-beneath-the-sea,4.19,"                12,658",2022,1131.0,336,Fantasy,THE GIRL WHO FELL BENEATH THE SEA,Hardcover,2.0,0.0,1.0,9781250780867,Feiwel & Friends,A reimagining of the Korean folktale “The Tale of Shim Cheong.”,https://storage.googleapis.com/du-prd/books/images/9781250780867.jpg,https://www.amazon.com/dp/1250780861?tag=NYTBSREV-20,2022-03-13,Young Adult Hardcover
"A Broken Blade (The Halfling Saga, #1)",MELISSA BLAIR,https://www.goodreads.com/book/show/59739150-a-broken-blade,4.24,"                1,162",2021,1132.0,Non,Fantasy,A BROKEN BLADE,"The Halfling Saga, #1",,,,,,,,,,
My Best Friend's Sister (Kindle Edition),QB TYLER,https://www.goodreads.com/book/show/50028485-my-best-friend-s-sister,3.53,"                4,210",2017,1133.0,108,Romance,MY BEST FRIEND'S SISTER,Kindle Edition,,,,,,,,,,
"Broken Bonds (The Bonds that Tie, #1)",J BREE,https://www.goodreads.com/book/show/58081613-broken-bonds,4.48,"                11,749",2021,1134.0,425,Polyamorous,BROKEN BONDS,"The Bonds that Tie, #1",,,,,,,,,,
When I Was Yours (Kindle Edition),SAMANTHA TOWLE,https://www.goodreads.com/book/show/26889041-when-i-was-yours,3.94,"                7,940",2015,1135.0,347,Romance,WHEN I WAS YOURS,Kindle Edition,,,,,,,,,,
There's Always Someday (Paperback),HARLOE RAE,https://www.goodreads.com/book/show/58503070-there-s-always-someday,3.58,"                3,299",hed ,1136.0,332,Romance,THERE'S ALWAYS SOMEDAY,Paperback,,,,,,,,,,
"Until Tomorrow Comes (Beauty in Lies, #1)",ADELAIDE FORREST,https://www.goodreads.com/book/show/56568381-until-tomorrow-comes,4.08,"                3,292",2021,1137.0,271,Dark,UNTIL TOMORROW COMES,"Beauty in Lies, #1",,,,,,,,,,
"The Bully (Kingmakers, #3)",SOPHIE LARK,https://www.goodreads.com/book/show/57731869-the-bully,4.38,"                10,588",2021,1138.0,372,Romance,THE BULLY,"Kingmakers, #3",,,,,,,,,,
The Final Girl Support Group (Hardcover),GRADY HENDRIX,https://www.goodreads.com/book/show/55829194-the-final-girl-support-group,3.58,"                57,376",2021,1139.0,352,Horror,THE FINAL GIRL SUPPORT GROUP,Hardcover,,,,,,,,,,
"Wounded Kiss (To Be Claimed, #1)",WILLOW WINTERS,https://www.goodreads.com/book/show/55780362-wounded-kiss,3.57,"                2,491",hed ,1140.0,Non,Fantasy,WOUNDED KISS,"To Be Claimed, #1",,,,,,,,,,
"The Confession Duet (Club Alias, #1; Confession Duet, #1-2)",KD ROBICHAUX,https://www.goodreads.com/book/show/35286449-the-confession-duet,4.22,"                2,456",hed ,1141.0,306,Romance,THE CONFESSION DUET,"Club Alias, #1; Confession Duet, #1-2",,,,,,,,,,
Keeping My Bride (Kindle Edition),ANGELA SNYDER,https://www.goodreads.com/book/show/58710714-keeping-my-bride,3.74,"                2,444",hed ,1142.0,Non,Romance,KEEPING MY BRIDE,Kindle Edition,,,,,,,,,,
"Prince Charming (Cinderella, #2)",K WEBSTER,https://www.goodreads.com/book/show/55509539-prince-charming,4.15,"                4,775",2021,1143.0,248,Romance,PRINCE CHARMING,"Cinderella, #2",,,,,,,,,,
Inevitable (Kindle Edition),KRISTEN GRANATA,https://www.goodreads.com/book/show/57626816-inevitable,3.33,"                2,108",hed ,1144.0,Non,Romance,INEVITABLE,Kindle Edition,,,,,,,,,,
"Nyx (Dark and Dirty Sinners' MC, #1)",SERENA AKEROYD,https://www.goodreads.com/book/show/57227062-nyx,4.13,"                5,236",2020,1145.0,294,Romance,NYX,"Dark and Dirty Sinners' MC, #1",,,,,,,,,,
"Saint (Priest, #3)",SIERRA SIMONE,https://www.goodreads.com/book/show/58131787-saint,4.23,"                3,931",2021,1146.0,415,Romance,SAINT,"Priest, #3",,,,,,,,,,
"Wreck & Ruin (Blue Angels Motorcycle Club, #1)",EMMA SLATE,https://www.goodreads.com/book/show/48746342-wreck-ruin,4.2,"                6,134",2019,1147.0,466,Romance,WRECK & RUIN,"Blue Angels Motorcycle Club, #1",,,,,,,,,,
